Code,Decimal,Description,Abbreviation / Key
U+031F,799,Combining Plus Sign Below,̟
U+0320,800,Combining Minus Sign Below,̠
U+0321,801,Combining Palatalized Hook Below,̡
U+0322,802,Combining Retroflex Hook Below,̢
U+0323,803,Combining Dot Below,̣
U+0324,804,Combining Diaeresis Below,̤
U+0325,805,Combining Ring Below,̥
U+0326,806,Combining Comma Below,̦
U+0327,807,Combining Cedilla,̧
U+0328,808,Combining Ogonek,̨
U+0329,809,Combining Vertical Line Below,̩
U+032A,810,Combining Bridge Below,̪
U+032B,811,Combining Inverted Double Arch Below,̫
U+032C,812,Combining Caron Below,̬
U+032D,813,Combining Circumflex Accent Below,̭
U+032E,814,Combining Breve Below,̮
U+032F,815,Combining Inverted Breve Below,̯
U+0330,816,Combining Tilde Below,̰
U+0331,817,Combining Macron Below,̱
U+0332,818,Combining Low Line,̲
U+0333,819,Combining Double Low Line,̳
U+0334,820,Combining Tilde Overlay,̴
U+0335,821,Combining Short Stroke Overlay,̵
U+0336,822,Combining Long Stroke Overlay,̶
U+0337,823,Combining Short Solidus Overlay,̷
U+0338,824,Combining Long Solidus Overlay,̸
U+0339,825,Combining Right Half Ring Below,̹
U+033A,826,Combining Inverted Bridge Below,̺
U+033B,827,Combining Square Below,̻
U+033C,828,Combining Seagull Below,̼
U+033D,829,Combining X Above,̽
U+033E,830,Combining Vertical Tilde,̾
U+033F,831,Combining Double Overline,̿
U+0340,832,Combining Grave Tone Mark,̀
U+0341,833,Combining Acute Tone Mark,́
U+0342,834,Combining Greek Perispomeni,͂
U+0343,835,Combining Greek Koronis,̓
U+0344,836,Combining Greek Dialytika Tonos,̈́
U+0345,837,Combining Greek Ypogegrammeni,ͅ
U+0346,838,Combining Bridge Above,͆
U+0347,839,Combining Equals Sign Below,͇
U+0348,840,Combining Double Vertical Line Below,͈
U+0349,841,Combining Left Angle Below,͉
U+034A,842,Combining Not Tilde Above,͊
U+034B,843,Combining Homothetic Above,͋
U+034C,844,Combining Almost Equal To Above,͌
U+034D,845,Combining Left Right Arrow Below,͍
U+034E,846,Combining Upwards Arrow Below,͎
U+034F,847,Combining Grapheme Joiner,͏
U+0350,848,Combining Right Arrowhead Above,͐
U+0351,849,Combining Left Half Ring Above,͑
U+0352,850,Combining Fermata,͒
U+0353,851,Combining X Below,͓
U+0354,852,Combining Left Arrowhead Below,͔
U+0355,853,Combining Right Arrowhead Below,͕
U+0356,854,Combining Right Arrowhead And Up Arrowhead Below,͖
U+0357,855,Combining Right Half Ring Above,͗
U+0358,856,Combining Dot Above Right,͘
U+0359,857,Combining Asterisk Below,͙
U+035A,858,Combining Double Ring Below,͚
U+035B,859,Combining Zigzag Above,͛
U+035C,860,Combining Double Breve Below,͜
U+035D,861,Combining Double Breve,͝
U+035E,862,Combining Double Macron,͞
U+035F,863,Combining Double Macron Below,͟
U+0360,864,Combining Double Tilde,͠
U+0361,865,Combining Double Inverted Breve,͡
U+0362,866,Combining Double Rightwards Arrow Below,͢
U+0363,867,Combining Latin Small Letter A,ͣ
U+0364,868,Combining Latin Small Letter E,ͤ
U+0365,869,Combining Latin Small Letter I,ͥ
U+0366,870,Combining Latin Small Letter O,ͦ
U+0367,871,Combining Latin Small Letter U,ͧ
U+0368,872,Combining Latin Small Letter C,ͨ
U+0369,873,Combining Latin Small Letter D,ͩ
U+036A,874,Combining Latin Small Letter H,ͪ
U+036B,875,Combining Latin Small Letter M,ͫ
U+036C,876,Combining Latin Small Letter R,ͬ
U+036D,877,Combining Latin Small Letter T,ͭ
U+036E,878,Combining Latin Small Letter V,ͮ
U+036F,879,Combining Latin Small Letter X,ͯ
U+0370,880,Greek Capital Letter Heta,Ͱ
U+0371,881,Greek Small Letter Heta,ͱ
U+0372,882,Greek Capital Letter Archaic Sampi,Ͳ
U+0373,883,Greek Small Letter Archaic Sampi,ͳ
U+0374,884,Greek Numeral Sign,ʹ
U+0375,885,Greek Lower Numeral Sign,͵
U+0376,886,Greek Capital Letter Pamphylian Digamma,Ͷ
U+0377,887,Greek Small Letter Pamphylian Digamma,ͷ
U+037A,890,Greek Ypogegrammeni,ͺ
U+037B,891,Greek Small Reversed Lunate Sigma Symbol,ͻ
U+037C,892,Greek Small Dotted Lunate Sigma Symbol,ͼ
U+037D,893,Greek Small Reversed Dotted Lunate Sigma Symbol,ͽ
U+037E,894,Greek Question Mark,;
U+037F,895,Greek Capital Letter Yot,Ϳ
U+0384,900,Greek acute accent (tonos),΄
U+0385,901,Greek diaeresis with acute accent,΅
U+0386,902,Greek Capital Letter A with acute accent,Ά
U+0387,903,Greek Ano Teleia,·
U+0388,904,Greek Capital Letter Epsilon with acute accent,Έ
U+0389,905,Greek Capital Letter Eta with acute accent,Ή
U+038A,906,Greek Capital Letter Iota with acute accent,Ί
U+038C,908,Greek Capital Letter Omicron with acute accent,Ό
U+038E,910,Greek Capital Letter Upsilon with acute accent,Ύ
U+038F,911,Greek Capital Letter Omega with acute accent,Ώ
U+0390,912,Greek Small Letter Iota with diaeresis and acute accent,ΐ
U+0391,913,Greek Capital Letter Alpha,Α
U+0392,914,Greek Capital Letter Beta,Β
U+0393,915,Greek Capital Letter Gamma,Γ
U+0394,916,Greek Capital Letter Delta,Δ
U+0395,917,Greek Capital Letter Epsilon,Ε
U+0396,918,Greek Capital Letter Zeta,Ζ
U+0397,919,Greek Capital Letter Eta,Η
U+0398,920,Greek Capital Letter Theta,Θ
U+0399,921,Greek Capital Letter Iota,Ι
U+039A,922,Greek Capital Letter Kappa,Κ
U+039B,923,Greek Capital Letter Lambda,Λ
U+039C,924,Greek Capital Letter Mu,Μ
U+039D,925,Greek Capital Letter Nu,Ν
U+039E,926,Greek Capital Letter Xi,Ξ
U+039F,927,Greek Capital Letter Omicron,Ο
U+03A0,928,Greek Capital Letter Pi,Π
U+03A1,929,Greek Capital Letter Rho,Ρ
U+03A3,931,Greek Capital Letter Sigma,Σ
U+03A4,932,Greek Capital Letter Tau,Τ
U+03A5,933,Greek Capital Letter Upsilon,Υ
U+03A6,934,Greek Capital Letter Phi,Φ
U+03A7,935,Greek Capital Letter Chi,Χ
U+03A8,936,Greek Capital Letter Psi,Ψ
U+03A9,937,Greek Capital Letter Omega,Ω
U+03AA,938,Greek Capital Letter Iota with diaeresis,Ϊ
U+03AB,939,Greek Capital Letter Upsilon with diaeresis,Ϋ
U+03AC,940,Greek Small Letter Alpha with acute accent,ά
U+03AD,941,Greek Small Letter Epsilon with acute accent,έ
U+03AE,942,Greek Small Letter Eta with acute accent,ή
U+03AF,943,Greek Small Letter Iota with acute accent,ί
U+03B0,944,Greek Small Letter Upsilon with diaeresis and acute accent,ΰ
U+03B1,945,Greek Small Letter Alpha,α
U+03B2,946,Greek Small Letter Beta,β
U+03B3,947,Greek Small Letter Gamma,γ
U+03B4,948,Greek Small Letter Delta,δ
U+03B5,949,Greek Small Letter Epsilon,ε
U+03B6,950,Greek Small Letter Zeta,ζ
U+03B7,951,Greek Small Letter Eta,η
U+03B8,952,Greek Small Letter Theta,θ
U+03B9,953,Greek Small Letter Iota,ι
U+03BA,954,Greek Small Letter Kappa,κ
U+03BB,955,Greek Small Letter Lambda,λ
U+03BC,956,Greek Small Letter Mu,μ
U+03BD,957,Greek Small Letter Nu,ν
U+03BE,958,Greek Small Letter Xi,ξ
U+03BF,959,Greek Small Letter Omicron,ο
U+03C0,960,Greek Small Letter Pi,π
U+03C1,961,Greek Small Letter Rho,ρ
U+03C2,962,Greek Small Letter Final Sigma,ς
U+03C3,963,Greek Small Letter Sigma,σ
U+03C4,964,Greek Small Letter Tau,τ
U+03C5,965,Greek Small Letter Upsilon,υ
U+03C6,966,Greek Small Letter Phi,φ
U+03C7,967,Greek Small Letter Chi,χ
U+03C8,968,Greek Small Letter Psi,ψ
U+03C9,969,Greek Small Letter Omega,ω
U+03CA,970,Greek Small Letter Iota with diaeresis,ϊ
U+03CB,971,Greek Small Letter Upsilon with diaeresis,ϋ
U+03CC,972,Greek Small Letter Omicron with acute accent,ό
U+03CD,973,Greek Small Letter Upsilon with acute accent,ύ
U+03CE,974,Greek Small Letter Omega with acute accent,ώ
U+03CF,975,Greek Capital Kai Symbol,Ϗ
U+03D0,976,Greek Beta Symbol,ϐ
U+03D1,977,Greek Theta Symbol,ϑ
U+03D2,978,Greek Upsilon with hook Symbol,ϒ
U+03D3,979,Greek Upsilon with acute and hook Symbol,ϓ
U+03D4,980,Greek Upsilon with diaeresis and hook Symbol,ϔ
U+03D5,981,Greek Phi Symbol,ϕ
U+03D6,982,Greek Pi Symbol,ϖ
U+03D7,983,Greek Kai Symbol,ϗ
U+03D8,984,Greek Letter Qoppa,Ϙ
U+03D9,985,Greek Small Letter Qoppa,ϙ
U+03DA,986,Greek Letter Stigma,Ϛ
U+03DB,987,Greek Small Letter Stigma,ϛ
U+03DC,988,Greek Letter Digamma,Ϝ
U+03DD,989,Greek Small Letter Digamma,ϝ
U+03DE,990,Greek Letter Koppa,Ϟ
U+03DF,991,Greek Small Letter Koppa,ϟ
U+03E0,992,Greek Letter Sampi,Ϡ
U+03E1,993,Greek Small Letter Sampi,ϡ
U+03E2,994,Coptic Capital Letter Shei,Ϣ
U+03E3,995,Coptic Small Letter Shei,ϣ
U+03E4,996,Coptic Capital Letter Fei,Ϥ
U+03E5,997,Coptic Small Letter Fei,ϥ
U+03E6,998,Coptic Capital Letter Khei,Ϧ
U+03E7,999,Coptic Small Letter Khei,ϧ
U+03E8,1000,Coptic Capital Letter Hori,Ϩ
U+03E9,1001,Coptic Small Letter Hori,ϩ
U+03EA,1002,Coptic Capital Letter Gangia,Ϫ
U+03EB,1003,Coptic Small Letter Gangia,ϫ
U+03EC,1004,Coptic Capital Letter Shima,Ϭ
U+03ED,1005,Coptic Small Letter Shima,ϭ
U+03EE,1006,Coptic Capital Letter Dei,Ϯ
U+03EF,1007,Coptic Small Letter Dei,ϯ
U+03F0,1008,Greek Kappa Symbol,ϰ
U+03F1,1009,Greek Rho Symbol,ϱ
U+03F2,1010,Greek Lunate Sigma Symbol,ϲ
U+03F3,1011,Greek Letter Yot,ϳ
U+03F4,1012,Greek Capital Theta Symbol,ϴ
U+03F5,1013,Greek Lunate Epsilon Symbol,ϵ
U+03F6,1014,Greek Reversed Lunate Epsilon Symbol,϶
U+03F7,1015,Greek Capital Sho,Ϸ
U+03F8,1016,Greek Small Letter Sho,ϸ
U+03F9,1017,Greek Capital Lunate Sigma Symbol,Ϲ
U+03FA,1018,Greek Capital San,Ϻ
U+03FB,1019,Greek Small Letter San,ϻ
U+03FC,1020,Greek Rho with stroke Symbol,ϼ
U+03FD,1021,Greek Capital Reversed Lunate Sigma Symbol,Ͻ
U+03FE,1022,Greek Capital Dotted Lunate Sigma Symbol,Ͼ
U+03FF,1023,Greek Capital Reversed Dotted Lunate Sigma Symbol,Ͽ
U+0400,NaN,Cyrillic Capital Letter Ie with grave,Ѐ
U+0401,NaN,Cyrillic Capital Letter Io,Ё
U+0402,NaN,Cyrillic Capital Letter Dje,Ђ
U+0403,NaN,Cyrillic Capital Letter Gje,Ѓ
U+0404,NaN,Cyrillic Capital Letter Ukrainian Ie,Є
U+0405,NaN,Cyrillic Capital Letter Dze,Ѕ
U+0406,NaN,Cyrillic Capital Letter Byelorussian-Ukrainian I,І
U+0407,NaN,Cyrillic Capital Letter Yi,Ї
U+0408,NaN,Cyrillic Capital Letter Je,Ј
U+0409,NaN,Cyrillic Capital Letter Lje,Љ
U+040A,NaN,Cyrillic Capital Letter Nje,Њ
U+040B,NaN,Cyrillic Capital Letter Tshe,Ћ
U+040C,NaN,Cyrillic Capital Letter Kje,Ќ
U+040D,NaN,Cyrillic Capital Letter I with grave,Ѝ
U+040E,NaN,Cyrillic Capital Letter Short U,Ў
U+040F,NaN,Cyrillic Capital Letter Dzhe,Џ
U+0410,NaN,Cyrillic Capital Letter A,А
U+0411,NaN,Cyrillic Capital Letter Be,Б
U+0412,NaN,Cyrillic Capital Letter Ve,В
U+0413,NaN,Cyrillic Capital Letter Ghe,Г
U+0414,NaN,Cyrillic Capital Letter De,Д
U+0415,NaN,Cyrillic Capital Letter Ie,Е
U+0416,NaN,Cyrillic Capital Letter Zhe,Ж
U+0417,NaN,Cyrillic Capital Letter Ze,З
U+0418,NaN,Cyrillic Capital Letter I,И
U+0419,NaN,Cyrillic Capital Letter Short I,Й
U+041A,NaN,Cyrillic Capital Letter Ka,К
U+041B,NaN,Cyrillic Capital Letter El,Л
U+041C,NaN,Cyrillic Capital Letter Em,М
U+041D,NaN,Cyrillic Capital Letter En,Н
U+041E,NaN,Cyrillic Capital Letter O,О
U+041F,NaN,Cyrillic Capital Letter Pe,П
U+0420,NaN,Cyrillic Capital Letter Er,Р
U+0421,NaN,Cyrillic Capital Letter Es,С
U+0422,NaN,Cyrillic Capital Letter Te,Т
U+0423,NaN,Cyrillic Capital Letter U,У
U+0424,NaN,Cyrillic Capital Letter Ef,Ф
U+0425,NaN,Cyrillic Capital Letter Ha,Х
U+0426,NaN,Cyrillic Capital Letter Tse,Ц
U+0427,NaN,Cyrillic Capital Letter Che,Ч
U+0428,NaN,Cyrillic Capital Letter Sha,Ш
U+0429,NaN,Cyrillic Capital Letter Shcha,Щ
U+042A,NaN,Cyrillic Capital Letter Hard Sign,Ъ
U+042B,NaN,Cyrillic Capital Letter Yeru,Ы
U+042C,NaN,Cyrillic Capital Letter Soft Sign,Ь
U+042D,NaN,Cyrillic Capital Letter E,Э
U+042E,NaN,Cyrillic Capital Letter Yu,Ю
U+042F,NaN,Cyrillic Capital Letter Ya,Я
U+0430,NaN,Cyrillic Small Letter A,а
U+0431,NaN,Cyrillic Small Letter Be,б
U+0432,NaN,Cyrillic Small Letter Ve,в
U+0433,NaN,Cyrillic Small Letter Ghe,г
U+0434,NaN,Cyrillic Small Letter De,д
U+0435,NaN,Cyrillic Small Letter Ie,е
U+0436,NaN,Cyrillic Small Letter Zhe,ж
U+0437,NaN,Cyrillic Small Letter Ze,з
U+0438,NaN,Cyrillic Small Letter I,и
U+0439,NaN,Cyrillic Small Letter Short I,й
U+043A,NaN,Cyrillic Small Letter Ka,к
U+043B,NaN,Cyrillic Small Letter El,л
U+043C,NaN,Cyrillic Small Letter Em,м
U+043D,NaN,Cyrillic Small Letter En,н
U+043E,NaN,Cyrillic Small Letter O,о
U+043F,NaN,Cyrillic Small Letter Pe,п
U+0440,NaN,Cyrillic Small Letter Er,р
U+0441,NaN,Cyrillic Small Letter Es,с
U+0442,NaN,Cyrillic Small Letter Te,т
U+0443,NaN,Cyrillic Small Letter U,у
U+0444,NaN,Cyrillic Small Letter Ef,ф
U+0445,NaN,Cyrillic Small Letter Ha,х
U+0446,NaN,Cyrillic Small Letter Tse,ц
U+0447,NaN,Cyrillic Small Letter Che,ч
U+0448,NaN,Cyrillic Small Letter Sha,ш
U+0449,NaN,Cyrillic Small Letter Shcha,щ
U+044A,NaN,Cyrillic Small Letter Hard Sign,ъ
U+044B,NaN,Cyrillic Small Letter Yeru,ы
U+044C,NaN,Cyrillic Small Letter Soft Sign,ь
U+044D,NaN,Cyrillic Small Letter E,э
U+044E,NaN,Cyrillic Small Letter Yu,ю
U+044F,NaN,Cyrillic Small Letter Ya,я
U+0450,NaN,Cyrillic Small Letter Ie with grave,ѐ
U+0451,NaN,Cyrillic Small Letter Io,ё
U+0452,NaN,Cyrillic Small Letter Dje,ђ
U+0453,NaN,Cyrillic Small Letter Gje,ѓ
U+0454,NaN,Cyrillic Small Letter Ukrainian Ie,є
U+0455,NaN,Cyrillic Small Letter Dze,ѕ
U+0456,NaN,Cyrillic Small Letter Byelorussian-Ukrainian I,і
U+0457,NaN,Cyrillic Small Letter Yi,ї
U+0458,NaN,Cyrillic Small Letter Je,ј
U+0459,NaN,Cyrillic Small Letter Lje,љ
U+045A,NaN,Cyrillic Small Letter Nje,њ
U+045B,NaN,Cyrillic Small Letter Tshe,ћ
U+045C,NaN,Cyrillic Small Letter Kje,ќ
U+045D,NaN,Cyrillic Small Letter I with grave,ѝ
U+045E,NaN,Cyrillic Small Letter Short U,ў
U+045F,NaN,Cyrillic Small Letter Dzhe,џ
U+0460,NaN,Cyrillic Capital Letter Omega,Ѡ
U+0461,NaN,Cyrillic Small Letter Omega,ѡ
U+0462,NaN,Cyrillic Capital Letter Yat,Ѣ
U+0463,NaN,Cyrillic Small Letter Yat,ѣ
U+0464,NaN,Cyrillic Capital Letter Iotified E,Ѥ
U+0465,NaN,Cyrillic Small Letter Iotified E,ѥ
U+0466,NaN,Cyrillic Capital Letter Little Yus,Ѧ
U+0467,NaN,Cyrillic Small Letter Little Yus,ѧ
U+0468,NaN,Cyrillic Capital Letter Iotified Little Yus,Ѩ
U+0469,NaN,Cyrillic Small Letter Iotified Little Yus,ѩ
U+046A,NaN,Cyrillic Capital Letter Big Yus,Ѫ
U+046B,NaN,Cyrillic Small Letter Big Yus,ѫ
U+046C,NaN,Cyrillic Capital Letter Iotified Big Yus,Ѭ
U+046D,NaN,Cyrillic Small Letter Iotified Big Yus,ѭ
U+046E,NaN,Cyrillic Capital Letter Ksi,Ѯ
U+046F,NaN,Cyrillic Small Letter Ksi,ѯ
U+0470,NaN,Cyrillic Capital Letter Psi,Ѱ
U+0471,NaN,Cyrillic Small Letter Psi,ѱ
U+0472,NaN,Cyrillic Capital Letter Fita,Ѳ
U+0473,NaN,Cyrillic Small Letter Fita,ѳ
U+0474,NaN,Cyrillic Capital Letter Izhitsa,Ѵ
U+0475,NaN,Cyrillic Small Letter Izhitsa,ѵ
U+0476,NaN,Cyrillic Capital Letter Izhitsa with double grave accent,Ѷ
U+0477,NaN,Cyrillic Small Letter Izhitsa with double grave accent,ѷ
U+0478,NaN,Cyrillic Capital Letter Uk,Ѹ
U+0479,NaN,Cyrillic Small Letter Uk,ѹ
U+047A,NaN,Cyrillic Capital Letter Round Omega,Ѻ
U+047B,NaN,Cyrillic Small Letter Round Omega,ѻ
U+047C,NaN,Cyrillic Capital Letter Omega with Titlo,Ѽ
U+047D,NaN,Cyrillic Small Letter Omega with Titlo,ѽ
U+047E,NaN,Cyrillic Capital Letter Ot,Ѿ
U+047F,NaN,Cyrillic Small Letter Ot,ѿ
U+0480,NaN,Cyrillic Capital Letter Koppa,Ҁ
U+0481,NaN,Cyrillic Small Letter Koppa,ҁ
U+0482,NaN,Cyrillic Thousands Sign,҂
U+0483,NaN,Combining Cyrillic Titlo,҃
U+0484,NaN,Combining Cyrillic Palatalization,҄
U+0485,NaN,Combining Cyrillic Dasia Pneumata,҅
U+0486,NaN,Combining Cyrillic Psili Pneumata,҆
U+0487,NaN,Combining Cyrillic Pokrytie,҇
U+0488,NaN,Combining Cyrillic Hundred Thousands Sign,҈
U+0489,NaN,Combining Cyrillic Millions Sign,҉
U+048A,NaN,Cyrillic Capital Letter Short I with tail,Ҋ
U+048B,NaN,Cyrillic Small Letter Short I with tail,ҋ
U+048C,NaN,Cyrillic Capital Letter Semisoft Sign,Ҍ
U+048D,NaN,Cyrillic Small Letter Semisoft Sign,ҍ
U+048E,NaN,Cyrillic Capital Letter Er with tick,Ҏ
U+048F,NaN,Cyrillic Small Letter Er with tick,ҏ
U+0490,NaN,Cyrillic Capital Letter Ghe with upturn,Ґ
U+0491,NaN,Cyrillic Small Letter Ghe with upturn,ґ
U+0492,NaN,Cyrillic Capital Letter Ghe with stroke,Ғ
U+0493,NaN,Cyrillic Small Letter Ghe with stroke,ғ
U+0494,NaN,Cyrillic Capital Letter Ghe with middle hook,Ҕ
U+0495,NaN,Cyrillic Small Letter Ghe with middle hook,ҕ
U+0496,NaN,Cyrillic Capital Letter Zhe with descender,Җ
U+0497,NaN,Cyrillic Small Letter Zhe with descender,җ
U+0498,NaN,Cyrillic Capital Letter Ze with descender,Ҙ
U+0499,NaN,Cyrillic Small Letter Ze with descender,ҙ
U+049A,NaN,Cyrillic Capital Letter Ka with descender,Қ
U+049B,NaN,Cyrillic Small Letter Ka with descender,қ
U+049C,NaN,Cyrillic Capital Letter Ka with vertical stroke,Ҝ
U+049D,NaN,Cyrillic Small Letter Ka with vertical stroke,ҝ
U+049E,NaN,Cyrillic Capital Letter Ka with stroke,Ҟ
U+049F,NaN,Cyrillic Small Letter Ka with stroke,ҟ
U+04A0,NaN,Cyrillic Capital Letter Bashkir Ka,Ҡ
U+04A1,NaN,Cyrillic Small Letter Bashkir Ka,ҡ
U+04A2,NaN,Cyrillic Capital Letter En with descender,Ң
U+04A3,NaN,Cyrillic Small Letter En with descender,ң
U+04A4,NaN,Cyrillic Capital Ligature En Ghe,Ҥ
U+04A5,NaN,Cyrillic Small Ligature En Ghe,ҥ
U+04A6,NaN,Cyrillic Capital Letter Pe with middle hook,Ҧ
U+04A7,NaN,Cyrillic Small Letter Pe with middle hook,ҧ
U+04A8,NaN,Cyrillic Capital Letter Abkhazian Ha,Ҩ
U+04A9,NaN,Cyrillic Small Letter Abkhazian Ha,ҩ
U+04AA,NaN,Cyrillic Capital Letter Es with descender,Ҫ
U+04AB,NaN,Cyrillic Small Letter Es with descender,ҫ
U+04AC,NaN,Cyrillic Capital Letter Te with descender,Ҭ
U+04AD,NaN,Cyrillic Small Letter Te with descender,ҭ
U+04AE,NaN,Cyrillic Capital Letter Straight U,Ү
U+04AF,NaN,Cyrillic Small Letter Straight U,ү
U+04B0,NaN,Cyrillic Capital Letter Straight U with stroke,Ұ
U+04B1,NaN,Cyrillic Small Letter Straight U with stroke,ұ
U+04B2,NaN,Cyrillic Capital Letter Ha with descender,Ҳ
U+04B3,NaN,Cyrillic Small Letter Ha with descender,ҳ
U+04B4,NaN,Cyrillic Capital Ligature Te Tse,Ҵ
U+04B5,NaN,Cyrillic Small Ligature Te Tse,ҵ
U+04B6,NaN,Cyrillic Capital Letter Che with descender,Ҷ
U+04B7,NaN,Cyrillic Small Letter Che with descender,ҷ
U+04B8,NaN,Cyrillic Capital Letter Che with vertical stroke,Ҹ
U+04B9,NaN,Cyrillic Small Letter Che with vertical stroke,ҹ
U+04BA,NaN,Cyrillic Capital Letter Shha,Һ
U+04BB,NaN,Cyrillic Small Letter Shha,һ
U+04BC,NaN,Cyrillic Capital Letter Abkhazian Che,Ҽ
U+04BD,NaN,Cyrillic Small Letter Abkhazian Che,ҽ
U+04BE,NaN,Cyrillic Capital Letter Abkhazian Che with descender,Ҿ
U+04BF,NaN,Cyrillic Small Letter Abkhazian Che with descender,ҿ
U+04C0,NaN,Cyrillic Letter Palochka,Ӏ
U+04C1,NaN,Cyrillic Capital Letter Zhe with breve,Ӂ
U+04C2,NaN,Cyrillic Small Letter Zhe with breve,ӂ
U+04C3,NaN,Cyrillic Capital Letter Ka with hook,Ӄ
U+04C4,NaN,Cyrillic Small Letter Ka with hook,ӄ
U+04C5,NaN,Cyrillic Capital Letter El with tail,Ӆ
U+04C6,NaN,Cyrillic Small Letter El with tail,ӆ
U+04C7,NaN,Cyrillic Capital Letter En with hook,Ӈ
U+04C8,NaN,Cyrillic Small Letter En with hook,ӈ
U+04C9,NaN,Cyrillic Capital Letter En with tail,Ӊ
U+04CA,NaN,Cyrillic Small Letter En with tail,ӊ
U+04CB,NaN,Cyrillic Capital Letter Khakassian Che,Ӌ
U+04CC,NaN,Cyrillic Small Letter Khakassian Che,ӌ
U+04CD,NaN,Cyrillic Capital Letter Em with tail,Ӎ
U+04CE,NaN,Cyrillic Small Letter Em with tail,ӎ
U+04CF,NaN,Cyrillic Small Letter Palochka,ӏ
U+04D0,NaN,Cyrillic Capital Letter A with breve,Ӑ
U+04D1,NaN,Cyrillic Small Letter A with breve,ӑ
U+04D2,NaN,Cyrillic Capital Letter A with diaeresis,Ӓ
U+04D3,NaN,Cyrillic Small Letter A with diaeresis,ӓ
U+04D4,NaN,Cyrillic Capital Ligature A Ie,Ӕ
U+04D5,NaN,Cyrillic Small Ligature A Ie,ӕ
U+04D6,NaN,Cyrillic Capital Letter Ie with breve,Ӗ
U+04D7,NaN,Cyrillic Small Letter Ie with breve,ӗ
U+04D8,NaN,Cyrillic Capital Letter Schwa,Ә
U+04D9,NaN,Cyrillic Small Letter Schwa,ә
U+04DA,NaN,Cyrillic Capital Letter Schwa with diaeresis,Ӛ
U+04DB,NaN,Cyrillic Small Letter Schwa with diaeresis,ӛ
U+04DC,NaN,Cyrillic Capital Letter Zhe with diaeresis,Ӝ
U+04DD,NaN,Cyrillic Small Letter Zhe with diaeresis,ӝ
U+04DE,NaN,Cyrillic Capital Letter Ze with diaeresis,Ӟ
U+04DF,NaN,Cyrillic Small Letter Ze with diaeresis,ӟ
U+04E0,NaN,Cyrillic Capital Letter Abkhazian Dze,Ӡ
U+04E1,NaN,Cyrillic Small Letter Abkhazian Dze,ӡ
U+04E2,NaN,Cyrillic Capital Letter I with macron,Ӣ
U+04E3,NaN,Cyrillic Small Letter I with macron,ӣ
U+04E4,NaN,Cyrillic Capital Letter I with diaeresis,Ӥ
U+04E5,NaN,Cyrillic Small Letter I with diaeresis,ӥ
U+04E6,NaN,Cyrillic Capital Letter O with diaeresis,Ӧ
U+04E7,NaN,Cyrillic Small Letter O with diaeresis,ӧ
U+04E8,NaN,Cyrillic Capital Letter Barred O,Ө
U+04E9,NaN,Cyrillic Small Letter Barred O,ө
U+04EA,NaN,Cyrillic Capital Letter Barred O with diaeresis,Ӫ
U+04EB,NaN,Cyrillic Small Letter Barred O with diaeresis,ӫ
U+04EC,NaN,Cyrillic Capital Letter E with diaeresis,Ӭ
U+04ED,NaN,Cyrillic Small Letter E with diaeresis,ӭ
U+04EE,NaN,Cyrillic Capital Letter U with macron,Ӯ
U+04EF,NaN,Cyrillic Small Letter U with macron,ӯ
U+04F0,NaN,Cyrillic Capital Letter U with diaeresis,Ӱ
U+04F1,NaN,Cyrillic Small Letter U with diaeresis,ӱ
U+04F2,NaN,Cyrillic Capital Letter U with double acute,Ӳ
U+04F3,NaN,Cyrillic Small Letter U with double acute,ӳ
U+04F4,NaN,Cyrillic Capital Letter Che with diaeresis,Ӵ
U+04F5,NaN,Cyrillic Small Letter Che with diaeresis,ӵ
U+04F6,NaN,Cyrillic Capital Letter Ghe with descender,Ӷ
U+04F7,NaN,Cyrillic Small Letter Ghe with descender,ӷ
U+04F8,NaN,Cyrillic Capital Letter Yeru with diaeresis,Ӹ
U+04F9,NaN,Cyrillic Small Letter Yeru with diaeresis,ӹ
U+04FA,NaN,Cyrillic Capital Letter Ghe with stroke and hook,Ӻ
U+04FB,NaN,Cyrillic Small Letter Ghe with stroke and hook,ӻ
U+04FC,NaN,Cyrillic Capital Letter Ha with hook,Ӽ
U+04FD,NaN,Cyrillic Small Letter Ha with hook,ӽ
U+04FE,NaN,Cyrillic Capital Letter Ha with stroke,Ӿ
U+04FF,NaN,Cyrillic Small Letter Ha with stroke,ӿ
U+2013,NaN,En dash,–
U+2014,NaN,Em dash,—
U+2015,NaN,Horizontal bar,―
U+2017,NaN,Double low line,‗
U+2018,NaN,Left single quotation mark,‘
U+2019,NaN,Right single quotation mark,’
U+201A,NaN,Single low-9 quotation mark,‚
U+201B,NaN,Single high-reversed-9 quotation mark,‛
U+201C,NaN,Left double quotation mark,“
U+201D,NaN,Right double quotation mark,”
U+201E,NaN,Double low-9 quotation mark,„
U+2020,NaN,Dagger,†
U+2021,NaN,Double dagger,‡
U+2022,NaN,Bullet,•
U+2026,NaN,Horizontal ellipsis,…
U+2030,NaN,Per mille sign,‰
U+2032,NaN,Prime,′
U+2033,NaN,Double prime,″
U+2039,NaN,Single left-pointing angle quotation mark,‹
U+203A,NaN,Single right-pointing angle quotation mark,›
U+203C,NaN,Double exclamation mark,‼
U+203E,NaN,Overline,‾
U+2044,NaN,Fraction slash,⁄
U+204A,NaN,Tironian et sign,⁊
U+2580,NaN,Upper half block,▀
